ID,Age,Sex,Sex_MaleFemaleOnly,Education,VerbalAbililtyTotal,VerbalAbility_GreaterThan8,LiberalConservative,ProChoice_ProLife,AbortionSpectrum,HowImportantisReferendumtoYou,HowWillYouVote,HowWillYouVote_Yes1No2,HowWillYouVote_MissingSameAsWontVote,TraditionalMediaConsumption,SocialMediaConsumption,DiscussionsFamilyFriends,ApprovalYesCampaign,ApprovalNoCampaign,VoterRegister,VoterRegisterDidntHear,VoterRegisterDontRemember,VoterRegisterTV,VoterRegisterNewspaper,VoterRegisterRadio,VoterRegisterOnlineNews,VoterRegisterSocialMedia,VoterRegisterFriend,VoterRegisterOther,VoterRegisterHowDidYouFeel,GAAStars,GAADidntHear,GAADontRemmeber,GAATV,GAANewspaper,GAARadio,GAAOnlineNews,GAASocialMedia,GAAFriend,GAAOther,GAAHowDidYouFeel,FakeNurse,FakeNurseDidntHear,FakeNurseDontRemember,FakeNurseTV,FakeNurseNewspaper,FakeNurseRadio,FakeNurseOnlineNews,FakeNurseSocialMedia,FakeNurseFriend,FakeNurseOther,FakeNurseHowDidYouFeel,Coveney,CoveneyDidntHear,CoveneyDontRemember,CoveneyTV,CoveneyNewspaper,CoveneyRadio,CoveneyOnlineNews,CoveneySocialMedia,CoveneyFriend,CoveneyOther,CoveneyHowDidYouFeel,YesPosters,YesPostersDidntHear,YesPostersDontRemember,YesPostersTV,YesPostersNewspaper,YesPostersRadio,YesPostersOnlineNews,YesPostersSocialMedia,YesPostersFriend,YesPostersOther,YesPostersHowDidYouFeel,NoComments,NoCommentsDidntHear,NoCommentsDontRemember,NoCommentsTV,NoCommentsNewspaper,NoCommentsRadio,NoCommentsOnlineNews,NoCommentsSocialMedia,NoCommentsFriend,NoCommentsOther,NoCommentsHowDidYouFeel,Saoirse,SaoirseDidntHear,SaoirseDontRemember,SaoirseTV,SaoirseNewspaper,SaoirseRadio,SaoirseOnlineNews,SaoirseSocialMedia,SaoirseFriend,SaoirseOther,SaoirseHowDidYouFeel,GraphicPosters,GraphicPostersDidntHear,GraphicPostersDontRemember,GraphicPostersTV,GraphicPostersNewspaper,GraphicPostersRadio,GraphicPostersOnlineNews,GraphicPostersSocialMedia,GraphicPostersFriend,GraphicPostersOtherSource,GraphicPostersHowDidYouFeel,RonanMullen,RonanMullenDidntHear,RonanMullenDontRemember,RonanMullenTV,RonanMullenNewspaper,RonanMullenRadio,RonanMullenOnlineNews,RonanMullenSocialMedia,RonanMullenFriend,RonanMullenOther,RonanMullenHowDidYouFeel,CarolNolan,CarolNolanDidntHear,CarolNolanDontRemember,CarolNolanTV,CarolNolanNewspaper,CarolNolanRadio,CarolNolanOnlineNews,CarolNolanSocialMedia,CarolNolanFriend,CarolNolanOther,CarolNolanHowDidYouFeel,YesComments,YesCommentsDidntHear,YesCommentsDontRemember,YesCommentsTV,YesCommentsNewspaper,YesCommentsRadio,YesCommentsOnlineNews,YesCommentsSocialMedia,YesCommentsFriend,YesCommentsOther,YesCommentsHowDidYouFeel,NoPosters,NoPostersDidntHear,NoPostersDontRemember,NoPostersTV,NoPostersNewspaper,NoPostersRadio,NoPostersOnlineNews,NoPostersSocialMedia,NoPostersFriend,NoPostersOtherSource,NoPostersHowDidYouFeel,SelectFakeVoterReg1,SelectFakeVoterReg2,SelectFakeCoveney1,SelectFakeCoveney2,SelectFakeNoComments1,SelectFakeNoComments2,SelectFakeNurse1,SelectFakeNurse2,SelectFakeGAA1,SelectFakeGAA2,SelectFakeYesPosters1,SelectFakeYesPosters2,SelectFakeCarolNolan1,SelectFakeCarolNolan2,SelectFakeRonanMullen1,SelectFakeRonanMullen2,SelectFakeGraphic1,SelectFakeGraphic2,SelectFakeSaoirse1,SelectFakeSaoirse2,SelectFakeNoPosters1,SelectFakeNoPosters2,SelectFakeYesComments1,SelectFakeYesComments2,SelectedNoCommentsTotal,SelectedYesPostersTotal,SelectedNoPostersTotal,SelectedYesCommentsTotal,SelectedCarolNolanTotal,SelectedRonanMullenTotal,SelectedGraphicImagesTotal,SelectedSaoirseTotal,SelectedVoterRegTotal,SelectedSimonCoveneyTotal,SelectedNurseTotal,SelectedGAATotal,TotalTrueStoriesSelectedAsFake,TotalFalseStoriesSelectedAsFake,TotalStoriesSelectedAsFake,SelectedPosterStoryAsFake,SelectedCommentsStoryAsFake,Approval_Posters_No,Approval_Comments_Yes,Approval_Posters_Yes,Approval_Comments_No,YesComments_AttCong,YesPosters_AttCong,NoPosters_AttCong,NoComments_AttCong,PostersAttCongruence,SPACE,BROADEN,EMANATE,EDIBLE,ANIMOSITY,PACT,CLOISTERED,CAPRICE,ACCUSTOM,ALLUSION,SpaceCorrect,CapriceCorrect,BroadenCorrect,CloisteredCorrect,EmanateCorrect,EdibleCorrect,PactCorrect,AnimosityCorrect,AllusionCorrect,AccustomCorrect,StoryResp,FakeStoryResp,TrueMemoryCount,FalseMemoryCount,FalseStories_YesorBelieve1,VoterRegister1Yes2Believe,GAA1Yes2Believe,FakeNurse1Yes2Believe,Coveney1Yes2Believe,YesPosters1Yes2Believe,NoComments1Yes2Believe,Saoirse1Yes2Believe,GraphicPosters1Yes2Believe,RonanMullen1Yes2Believe,CarolNolan1Yes2Believe,YesComments1Yes2Believe,NoPosters1Yes2Believe,VoterRegister1Yes,GAA1Yes,FakeNurse1Yes,Coveney1Yes,YesPosters1Yes,NoComments1Yes,Saoirse1Yes,GraphicPosters1Yes,RonanMullen1Yes,CarolNolan1Yes,YesComments1Yes,NoPosters1Yes,YesPoster1YesBelieve,NoComments1YesBelieve,YesComments1YesBelieve,NoPosters1YesBelieve,YesPoster1SpecificMemory,NoComments1SpecificMemory,YesComments1SpecificMemory,NoPosters1SpecificMemory,GAAStarsWhere,VoterRegWhere,FakeNurseWhere,CoveneyWhere,YesPostersWhere,NoCommentsWhere,SaoirseWhere,GraphicPostersWhere,RonanMullenWhere,CarolNolanWhere,YesCommentsWhere,NoPostersWhere,TrueStoriesWhere_Average,FalseStoriesWhere_Average,CommentsMemories,PostersMemories,PosterMemories_BelieveandYes1,CommentsMemories_BelieveandYes1,PosterCongruency_0against1inline,PosterResponsesMerged_1Memory_BelieveExcluded,PosterAttCongruenceMerged,CommentsCongruency_0inline1against,CommentsResponseMerged_1Memory_BelieveExcluded,YesPosters1Specific2Remember3Believe,NoComments1Specific2Remember3Believe,NoPosters1Specific2Remember3Believe,YesComments1Specific2Remember3Believe,Posters1Specific2Remember3Believe
1650,26,2,2,7,7,1,4,1,4,8,1,1,1,4,2,2,2,5,3,1, , , , , , , , , ,3,1, , , , , , , , , ,1, , , , , , , ,1, ,"angry, deceived",1, , , , ,1, , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , ,0,1, , , , , , ,0,0,0,1,1,1,2,1,0, , ,5,5, ,1, ,4,1,4,5, ,3,1,3,2, ,4,1,1, ,1,0, ,1,1,1,1,1,6,2,2,0,2,2,2,1,1,2,2, , , , , , , , ,1,1, , , , , , , , ,1,1, , ,0,0, , , , ,1,1, , , , , , , , , , , , ,1,1,0, ,1,0, ,3,3, , ,3
1401,33,2,2,6,6,1,1,1,2,9,1,1,1,4,4,4,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , ,2, , , , , ,1, , , ,"Delighted, it?s great to see high profile people speaking out particularly those who are parents",1, , , , ,1, , , , ,"Annoyed and angry ,  the name of the organization is misleading in that it sounds like it may be connected to the state somehow . What they did was very insensitive to mothers attending the hospital .",3, , , , , ,1, , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , ,1,1, , ,0,0,0,0, , , , ,0,2,2,1,1, , ,4,5, ,2, ,4,2,4,5,3,3,1,3,2, ,4,4,1, ,1,0,0,1,1,1,0,1,6,2,2,0,2, , , , ,2,2,1,1,2,2, , , , , , , , ,1,1, , , , ,1,1, , ,0,0, , , , , , , , ,1,1, , , , , , , , ,1,1,0, ,2,0, ,3,3, , ,3
1291,20,2,2,5,5,1,3,1,3,8,1,1,1,4,4,5,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,1,1,1, ,Proud,2, , , , , , ,1, , ,Angry and upset,3,1, , , , , , , , , ,5,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , ,0,0,1,1,0,0, , , , ,2,0,2,0,0,5,1, , ,3, ,4, ,4,1,5,2,3,4,3, ,1,4,1,0,0,1, ,0,1,1,0,1,1,6,2,2,0,2, , , , , , ,1,1,2,0,2,2, , , , , , ,1,1, ,0, , , , ,1,1, , ,0,0, , , , , , ,1,1, , , , , , , , ,1,1,1, ,4,1, , , ,3,3,3
1445,28,2,2,6,6,1,3,1,2,8,1,1,1,5,5,4,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , ,Delighted because I didn't feel ashamed to say I was pro choice when I saw that highly regarded Irish people such as those in the video were pro choice too,1, , , , , , ,1, , ,Disgusted. Those people should be ashamed of themselves,5,1, , , , , , , , , ,5,1, , , , , , , , , ,3, ,0, , , , , , , ,"That entire court case made me sick to my stomach, but I don't recall that exact headline",3, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,1,0,0,0,0,0, , , , ,0,1,1,1,0,5,2, , ,3, ,3, ,3,4,5,4,3,1,3,2,2,4,2,1,0,1,0,0,1,1,1,0,1,6,2,2,0,2, , , , , , ,1,1,0,0,2,2, , , , , , ,1,1,0,0, , , , ,1,1, , ,0,0, , , , , , ,1,1, , , , , , , , ,1,1,1, ,3,1, , , ,3,3,3
1910,21,2,2,4,8,2,1,1,2,9,1,1,1,4,4,5,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,0, , , , , , , ,didn't see a problem,3, , , , , , , ,1, ,that it was a horrible stupid comment,1, , , , , , ,1, , ,happy,1, , , , , , ,1, , ,horrified,5, , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , ,0,0, , ,1,1,0,0, , , , ,2,0,2,0,0, , ,1,5, ,3, ,4,3,4,5,1,3,1,3,2,4,4,1,1,1,1,0,0,1,1,1,1,1,6,2,2,0,2, , , , ,2,2,1,1,0,0, , , , , , , , ,1,1,0,0, , ,1,1, , ,0,0, , , , , , , , ,1,1, , , , , , , , ,1,1,0, ,3,0, ,3,3, , ,3
2460,48,2,2,7,9,2,3,1,4,5,1,1,1,5,2,4,1,5,1, , , , , ,1, , , ,Cross at the stupidity of the idea,5,1, , , , , , , , , ,3,1, , , , , , , , ,No side lying again. Makes me angry,1, , ,1, , , , , , ,Not surprised as he appears very untrustworthy,3,1, , , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, ,1, , , ,1, , , , , , , , , , , , , ,1,1, , , , , , ,1,0,1,0,2,2,4,1,1, , ,3,5, ,2, ,4,2,4,5,3,3,1,3,5,4,4,1,1,1,1,1,0,1,1,1,1,1,6,2,2,0,2,1,0,2,1,2,2, , , , , , ,1,0, ,1, , , , , , , , ,1,1, , ,0,0, , , ,1, ,1, , , , , , , , , , , , ,1,1,0, ,2,0, ,3,3, , ,3
320, ,1,1,7,8,2,4,1,4,5,3, ,3,4,2,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,1, , , ,Liberal mindsets are easy to have when you're young and/or privileged. Sometimes things are more complicated.,1, , ,1,1,1,1, , , ,"Exploited by the media and dissolutions that our politicians are fundamentally interested in getting elected and/or re-elected. They can appreciate the impact of media/social media to affect public opinion, and have no problem spending tax payer money to reach that goal. Populist=best chance of re-election ?.",5,1, , , , , , , , , ,4, ,0, , , , , , , , ,3, ,0, , , , , , , , ,3, ,0, , ,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,0,0,1,0,0,0, , , , ,1,0,1,0,0,5,5, , ,2, ,3, ,3,4,5,1,3,1,3,5,1,4,1,1,0,1,1,0,1,1,1,1,1,6,2,2,0,2, , , , , , ,1,1,0,0,2,2, , , , , , ,1,1,0,0, , , , ,1,1, , ,0,0, , , , , , ,1,1, , , , , , , , ,1,1, , ,3, , , , ,3,3,3
385, ,2,2,4,9,2,2,3,5,1,4, ,4,3,1,3,2,4,1, , , ,1, , , , , ,This could not happen,5,1, , , , , , , , , ,5,1, , , , , , , , , ,1, , ,1, , , , , , ,I wondered who had influenced his decision, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , , , , , ,Some women always find ways to show they are victims,3, ,0, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, , , , ,1,0, , , , ,0,0,1,0,1,1,2,1,0,4,4, , ,2, ,4, ,4,4,5,3,3,1,3,5,4,4,1,1,1,1,1,0,1,1,1,1,1,6,2,2,0,2,1,0,0,1, , , , , , ,2,2,1,0,0,1, , , , , , , , , , ,1,1, , ,0,0, ,1, ,1, , , , , , , , , , , , ,1,1, , ,4, , , , ,3,3,3
326, ,2,2,7,10,2,5,2,5,5,3, ,3,1,1,1,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , , , , , , ,5,1, , , , , , , , , ,1, , ,1, , , , , , , ,1, , , , , ,1, , , ,She shouldn?t have been suspended on this issue,3, ,0, , , , , , , , ,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0, , , , ,0,0,0,0,0,5,5, , ,2, ,2, ,2,4,5,5,3,1,3,5,4,4,1,1,1,1,1,1,1,1,1,1,1,6,2,2,0,2, , , , , , ,0,0,1,1,2,2, , , , , , ,0,0,1,1, , , , ,1,1, , ,0,0, , , , , , , , ,1,1, , , , , , ,1,1, , ,2, , , , ,3,3,3
405,28,2,2,7,9,2,2,1,1,7,4, ,4,5,3,4,1,5,1, , , , , , , ,1, ,"Curious, it sounded strange that someone would be removed for no reason from an electoral register. I thought a further control of the data would have been appropriate.",5,1, , , , , , , , , ,5,1, , , , , , , , , ,2, , , ,1, , , , , ,I felt in some way relieved that also previously pro-life politicians were considering and backing up a yes vote. I also felt hopeful this could have a positive effect on undecided voters., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , ,0,0, , , , ,0,0,1,1,2,0,2,0,0,4,3, , ,2, ,3, ,3,4,5,5,3,1,3, ,4,4,1,1,1,1, ,1,1,1,1,1,1,6,2,2,0,2,1,0,0,1, , , , , , ,2,2,1,0,0,1, , , , , , , , , , ,1,1, , ,0,0, ,1, ,1, , , , , , , , , , , , ,1,1, , ,3, , , , ,3,3,3
3100, ,2,2,4,9,2,9,2,8,9,2,2,2,4,4,5,5,1,1, ,0, , , , , , , , ,5,1, , , , , , , , , ,5,1, , , , , , , , , ,1, , ,1,1,1,1,1,1, ,Typical turncoat.. very very angry, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,0, , , , , , , , ,3, , , , , , , ,1, ,Angry, , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , ,0,0,0,0,0,0,0,0,0,4,4, , ,3, ,1, ,1,4,5,5,3,1,3,2,4,4,1,1,1,1,0,1,1,1,1,1,1,6,2,2,0,2,1,0,0,1, , , , , , ,2,2,1,0,0,1, , , , , , , , , , ,1,1, , ,0,0, ,0, ,1, , , , , , , , , , , , ,1,1,0, ,1,0, , , ,3,3,3
1863, ,2,2,4,8,2,5,1, ,7,1,1,1,5,4,3,1,4,1, , , , , , ,1, , ,Shocked and worried.,3,1, , , , , , , , , ,2, ,0, , , , , , , ,Angry,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,1, , , , ,1,0, , , , ,0,0,0,1,1,1,2,1,0,4,4, , ,1, ,4, ,4,4,5,5,3,1,3,2,5,4,1,1,0,1,0,1,1,1,1,1,1,6,2,2,0,2,1,2,1,2, , , , , , ,2,2,1, ,1, , , , , , , , , , , ,1,1, , ,0,0, ,1,0, , , , , , , , , , , , , ,1,1,1, ,4,1, , , ,3,3,3
2554,21,2,2,5,10,2,2,1,3,9,1,1,1,3,4,5,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,1,1, , ,Happy,1,1, , , , , , , , , ,5,1, , , , , , , , , ,5,1, , , , , , , , , ,3, , , , , , ,1, , , ,3, ,0, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0, , , , ,0,0,0,0,0,4,3, , ,3, ,3, ,3,4,5,5,3,1,3,5,4,4,1,1,1,1,1,1,1,1,1,1,1,6,2,2,0,2, , , , , , ,1,1,0,0,2,2, , , , , , ,1,1,0,0, , , , ,1,1, , ,0,0, , , , , , ,1, , , , , , , , , ,1,1,1, ,3,1, , , ,3,3,3
1864,23,1,1,6,8,2,4,3,5,7,1,1,1,4,4,3,4,4,3,1, , , , , , , , , ,1, , ,1, ,1, , , , ,Although they were using their profile as high profile personalities in the GAA it was wrong of them to make any association between their personal choice and the wider organisation,3,1, , , , , , , , ,It's terrible that they resorted to lying,2, , , , ,1, , , , ,Anyone can change their opinion but I'd hate to think he changed it because he was encouraged to do so by the party, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , , , , , ,I don't like the vulgar imagery they used in an attempt to shock people,3, , , , ,1, , , , ,This is an Irish issue and there should be no influence from outside Ireland, , , , , , , ,1, , , , , , , , , , , , , ,1, , , , ,1,0, , , , ,0,0,1,0,1,1,2,1,0,5,5, , ,3, ,3, ,3,4,5,5,3,1,3,2, ,4,1,1, ,1,0,1,1,1,1,1,1,6,2,2,0,2,2,1,2,1, , , , , , ,2,2, ,1, ,1, , , , , , , , , , ,1,1, , ,0,0,1, , ,1, , , , , , , , , , , , ,1,1,1, ,3,1, , , ,3,3,3
2312,24,2,2,6,8,2,3,1,1,9,1,1,1,4,4,4,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , ,Happy that people are coming together and respectfully campaigning,1, , , , , , ,1,1, , ,5,1, , , , , , , , , ,5,1, , , , , , , , , ,3, ,0, , , , , , , , ,3, ,0, , , , , , , ,Pleased that there would be fewer graphic posters around, , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0, , , , ,0,0,0,0,0,5,2, , ,3, ,4, ,4,4,5,2,3,1,3,5, ,4,1,1, ,1,1,0,1,1,1,1,1,6,2,2,0,2, , , , , , ,1,1,0,0,2,2, , , , , , ,1,1,0,0, , , , ,1,1, , ,0,0, , , , , , ,1,1, , , , , , , , ,1,1,1, ,4,1, , , ,3,3,3
2619,41,2,2,7,9,2,2,1,1,9,1,1,1,5,5,5,1,5,3,1, , , , , , , , , ,1, , , , , ,1, , , ,Frustrated,3,1, , , , , , , , , ,1, , , , , ,1, , , ,Relieved, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , ,1, , ,0,1, , , , ,1,0,1,0,2,1,3,0,1,5,5, , ,0, ,4, ,4,4,5,3,3,1,3,5,4,4,1,1,1,1,1,0,1,1,1,1,1,6,2,2,0,2,2,1,2,1, , , , , , ,2,2, ,1, ,1, , , , , , , , , , ,1,1, , ,0,0,1, , ,1, , , , , , , , , , , , ,1,1,1, ,4,1, , , ,3,3,3
2788,20,2,2,6, , ,9,2,9,9,2,2,2,4,4,5,5,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , , , , , , ,5,1, , , , , , , , , ,1, , , , , , , ,1, , ,1, ,0, , , , , , , , ,5,1, , , , , , , , , ,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0, , , , ,0,0,0,0,0,2,5, , ,4, ,3, ,3, , , , , , , , , , , , , , , , , , , , ,6,2,2,0,1, , , , , , ,0,0,1,1,0,2, , , , , , ,0,0,1,1,0, , , ,0,1, , ,0,0, , , , , , , , ,1,0, , , , ,0, ,1,0,0, ,3,0,0, , ,3, ,3
458, ,2,2,7, , ,2,1,2,8,1,1,1,2,1,4,3,4,5,1, , , , , , , , , ,1, , , , ,1, , , , ,Indifferent,5,1, , , , , , , , , ,1, , ,1, , , , , , ,Indifferent, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,1, ,1, , ,1,1, , , , ,0,0,0,1,1,2,3,1,1,3,5, , ,2, ,3, ,3, , , , , , , , , , , , , , , , , , , , ,6,2,2,0,1,0,1,0,1, , , , , , ,0,2,0,1,0,1, , , , , , ,0, , , ,0,1, , ,0,0,1, , ,1, , , , , , , , , , ,0, ,1,0,1, ,3,1,0, , ,3, ,3
562, ,2,2,8, , ,2,1,2,9,1,1,1,1,2,5,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , ,Sympathetic to yes.,5,1, , , , , , , , , ,1, , , , , ,1, , , , ,5,1, , , , , , , , , ,5,1, , , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , ,1, , , , , , ,0,0,1,1,0,1, , , , ,3,0,3,0,0,4,2, , ,3, ,3, ,3, , , , , , , , , , , , , , , , , , , , ,6,2,2,0,1, , , , , , ,1,0,1,0,0,2, , , , , , ,1,0,1,0,0, , , ,0,1, , ,0,0, , , , , , ,1, ,1, , , , , ,0, ,1,0,1, ,3,1,0, , ,3, ,3
565, ,2,2,6, , ,1,1,3,9,1,1,1,4,4,4,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , ,I was delighted to see it,2, , ,1, , , , , , ,Embarrassed and upset for women in our country,5,1, , , , , , , , , ,5,1, , , , , , , , , ,5,1, , , , , , , , , ,3, ,0, , , , , , , ,I think the no campaign posters are embarrassing and their source is clearly uneducated in the matter, , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0, , , , ,0,0,0,0,0,5,3, , ,3, ,4, ,4, , , , , , , , , , , , , , , , , , , , ,6,2,2,0,1, , , , , , ,1,1,0,0,0,2, , , , , , ,1,1,0,0,0, , , ,0,1, , ,0,0, , , , , , ,1,1, , , , , , ,0, ,1,0,1, ,4,1,0, , ,3, ,3
880, ,1,1,4, , ,1,1,2,8,1,1,1,3,1,3,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,0, , , , , , , , ,1, , ,1,1,1, , , , ,Convinced I was.right to vote yes,1, , ,1,1,1,1, , , ,Reinforced my opinion of both of them,3, , ,1,1,1, , , , ,Nothing much,5, , , , , , , , , , ,3, ,0, , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,1, , , , , , ,0,0,1,0,0,1, , , , ,2,0,2,0,0,5,5, , ,1, ,4, ,4, , , , , , , , , , , , , , , , , , , , ,6,2,2,0,1, , , , , , ,2,1,1,2,0,2, , , , , , , ,1,1, ,0, , , ,0,1, , ,0,0, , , , , , , ,1,1, , , , , ,0, ,1,0,1, ,4,1,0, , ,3, ,3
456,19,2,2,4, , ,9,1,3,5,1,1,1,5,5,4,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , ,Proud,5,1, , , , , , , , , ,5,1, , , , , , , , , ,2,1, , , , , , , , , ,5,1, , , , , , , , , ,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , ,0,1,0,0,0,1, , , , ,1,1,2,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,2,2,0,1, , , , , , ,1,0,0,1,0,2, , , , , , ,1,0,0,1,0, , , ,0,1, , ,0,0, , , , , , ,1, , , , , , , ,0, ,1,0,1, , ,1,0, , ,3, ,3
563,23,2,2,6, , ,1,1,1,9,1,1,1,5,5,4,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , ,Proud that people were supporting repeal,2, , , , ,1, , ,1, , ,5,1, , , , , , , , , ,5,1, , , , , , , , , ,5,1, , , , , , , , , ,3, , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , ,1, , , , , , ,0,0,1,0,0,1, , , , ,2,0,2,0,0,5,4, , ,1, ,4, ,4, , , , , , , , , , , , , , , , , , , , ,6,2,2,0,1, , , , , , ,1,1,0,0,0,2, , , , , , ,1,1,0,0,0, , , ,0,1, , ,0,0, , , , , , ,1,1, , , , , , ,0, ,1,0,1, ,4,1,0, , ,3, ,3
2852,24,2,2,7, , ,5,2,5,5,2,2,2,3,3,4,4,2,1, , , , , , ,1, , , ,1, , , , , , ,1, , , ,3,1, , , , , , , , , ,3, , ,1, , , , , , , ,3,1, , , , , , , , , ,5,1, , , , , , , , ,"I highly doubt that this statement was whole-heartedly endorsed by the No Campaign. It sounds as if someone went rogue. I could be wrong however. I think you should have included more information on this event, for example whether or not the No Campaign released a statement in support of this quote. Using an example as negative as this makes your dissertation look biased, which is not upholding scientific integrity.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , ,0,0,0,0,0,0,0,0,0, , ,5,5, ,3, ,1,3, , , , , , , , , , , , , , , , , , , , ,6,2,2,0,1,1,1,2,2,2,0, , , , , , ,1,1, , , ,0, , , , , , ,1,0, , ,0,0, , ,1,1, , , , , , , , , , , , ,0, ,1,0,1, ,3,1,0,3, , , ,3
