ID,experiment,age_group_participants,condition_information,gender_participants,age_participants,response,Hesitation_time,notes
246,1,1, ,1,5.666666667, , ,participant do not want to be left alone
121,2,0,0,0,4,0, , 
122,2,0,0,0,3.83333333333333,0, , 
123,2,0,0,0,4,1,1, 
124,2,0,0,0,4.25,0, , 
125,2,0,0,0,4.25,1,15, 
126,2,0,0,0,4.33333333333333,1,15, 
127,2,0,0,0,4.25,1,13, 
128,2,0,0,0,4,0, , 
129,2,0,0,0,4.08333333333333,1,25, 
130,2,0,0,0,4.08333333333333,0, , 
131,2,0,0,0,3.16666666666667,1,7, 
132,2,0,0,0,3.41666666666667,1,17, 
133,2,0,0,0,3.66666666666667,1,2, 
134,2,0,0,0,3.91666666666667,0, , 
135,2,0,0,1,4.5,1,20, 
136,2,0,0,1,4.16666666666667,1,6, 
137,2,0,0,1,4.16666666666667,0, , 
138,2,0,0,1,4.33333333333333,0, , 
139,2,0,0,1,3.83333333333333,1,20, 
140,2,0,0,1,4,1,15, 
141,2,0,0,1,4.08333333333333,0, , 
142,2,0,0,1,4,0, , 
143,2,0,0,1,4,1,6, 
144,2,0,0,1,3.83333333333333,0, , 
145,2,0,0,1,3.83333333333333,1,10, 
146,2,0,0,1,4.25,1,13, 
147,2,0,0,1,3.91666666666667,0, , 
148,2,0,0,1,4.16666666666667,1,23, 
149,2,0,0,1,3.83333333333333,0, , 
150,2,0,0,1,3.91666666666667,0, , 
151,2,0,1,0,3.66666666666667,1,2, 
152,2,0,1,0,3.83333333333333,1,15, 
153,2,0,1,0,4.08333333333333,0, , 
154,2,0,1,0,4.33333333333333,1,12, 
155,2,0,1,0,4.41666666666667,0, , 
156,2,0,1,0,4.08333333333333,1,2, 
157,2,0,1,0,4.25,0, , 
158,2,0,1,0,4,0, , 
159,2,0,1,0,3.41666666666667,1,11, 
160,2,0,1,0,3.91666666666667,0, , 
161,2,0,1,0,3.5,1,3, 
162,2,0,1,0,4,0, , 
163,2,0,1,0,3.83333333333333,0, , 
164,2,0,1,0,4.08333333333333,0, , 
165,2,0,1,0,3.91666666666667,0, , 
166,2,0,1,0,3.5,1,25, 
167,2,0,1,1,4.33333333333333,1,2, 
168,2,0,1,1,4.5,0, , 
169,2,0,1,1,4.08333333333333,1,10, 
170,2,0,1,1,4.16666666666667,1,36, 
171,2,0,1,1,3.75,1,16, 
